DATE,NYGDPMKTPCDWLD
1960-01-01,1390297773982.95
1961-01-01,1446418444335.74
1962-01-01,1548223014126.97
1963-01-01,1669094093589.47
1964-01-01,1827513817035.52
1965-01-01,1990866749111.93
1966-01-01,2160633278615.57
1967-01-01,2298979948006.62
1968-01-01,2481354510516.72
1969-01-01,2736896297380.92
1970-01-01,2992438432818.81
1971-01-01,3305488181723.13
1972-01-01,3811564536740.61
1973-01-01,4650050380519.27
1974-01-01,5359410722750.85
1975-01-01,5970098794053.77
1976-01-01,6490818872059.42
1977-01-01,7341425175460.21
1978-01-01,8646230866561.9
1979-01-01,10042590469890.2
1980-01-01,11321396246860.5
1981-01-01,11712447147704.3
1982-01-01,11595933309689.1
1983-01-01,11823742466334.9
1984-01-01,12255569438482.1
1985-01-01,12889898391561.5
1986-01-01,15241194224711.6
1987-01-01,17347632790771.6
1988-01-01,19373475763787.9
1989-01-01,20171334961132.8
1990-01-01,22739516285919.0
1991-01-01,23707017314929.8
1992-01-01,25393696182655.1
1993-01-01,25822450379473.2
1994-01-01,27872421364037.9
1995-01-01,31043806328491.8
1996-01-01,31736284484872.9
1997-01-01,31619825562446.7
1998-01-01,31539696077319.9
1999-01-01,32736603313313.0
2000-01-01,33831940878252.9
2001-01-01,33614851304324.4
2002-01-01,34918207662527.3
2003-01-01,39147973173629.3
2004-01-01,44114320822433.6
2005-01-01,47777852489302.6
2006-01-01,51778667523963.0
2007-01-01,58337541912663.1
2008-01-01,64071495709700.3
2009-01-01,60781014428238.9
2010-01-01,66500496746881.5
2011-01-01,73671458898770.5
2012-01-01,75311560526567.0
2013-01-01,77443227662994.0
2014-01-01,79575525744225.7
2015-01-01,75117144172406.3
2016-01-01,76313195980325.6
2017-01-01,81224639219699.2
2018-01-01,86274296671018.8
2019-01-01,87568054060440.9
2020-01-01,84746978784172.8
